"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3070","Successful `Loan Request` details","Request Loan","2026-07-20","passed","2026-07-20","","Loan Account Details.spec.js","",""
"","2574","Sign in with password mismatch","Auth","2026-07-20","passed","2026-07-20","Sign Up negative tests"," Sign Up","",""
"","2582","Sign in with empty address","Auth","2026-07-20","passed","2026-07-20","Sign Up negative tests"," Sign Up","",""
"","3617","Successful account creation with `Checking` type","Parabank","2026-07-20","passed","2026-07-20","Account Details Visible When New CHECKING Account Open","Open New Account","",""
"","3905","Successful `Sign in` flow test","Auth","2026-07-20","passed","2026-07-20","","Sign In","",""
"","2121","Successful `Sign Out` flow test","Auth","2026-07-20","passed","2026-07-20","","Sign In","",""
"","3660","Account details page shows correct account info","Parabank","2026-07-20","passed","2026-07-20","Account Details","Account Overview","",""
"","2551","Sign in with empty zip code","Auth","2026-07-20","passed","2026-07-20","Sign Up negative tests"," Sign Up","",""
"","2882","Sign in with empty ssn code","Auth","2026-07-20","passed","2026-07-20","Sign Up negative tests"," Sign Up","",""
"","4252","Bill pay for another user account","Bill Pay","2026-07-20","passed","2026-07-20","","Bill Pay.spec.js","",""
"","3938","Successful account creation with `Saving` type","Parabank","2026-07-20","passed","2026-07-20","Account Details Visible When New SAVING Account Open","Open New Account","",""
"","4145","Transfer Fuund Succsessful flow","Transfer Fund","2026-07-20","passed","2026-07-20","","Transfer Fund.spec.js","",""
"","4151","Successful `Sign in` flow test","Auth","2026-07-20","passed","2026-07-20","","Forgot Log In Info","",""
"","2564","Sign in with empty state","Auth","2026-07-20","passed","2026-07-20","Sign Up negative tests"," Sign Up","",""
"","3655","Successful account creation with `Checking` type","Parabank","2026-07-20","passed","2026-07-20","Account Balance is Decreased When New CHECKING Account Open","Open New Account","",""
"","2734","Successful `Loan Request` details","Request Loan","2026-07-20","passed","2026-07-20","","Loan Request Negative.spec.js","",""
"","3176","Sign in with ununique username","Auth","2026-07-20","passed","2026-07-20","Sign Up negative tests"," Sign Up","",""
"","2454","Sign in with empty password","Auth","2026-07-20","passed","2026-07-20","Sign In negative tests","Sign In","",""
"","3071","Filter account transactions by type shows results","Parabank","2026-07-20","passed","2026-07-20","Account Activity","Account Overview","",""
"","2489","Sign in with non-verified user","Auth","2026-07-20","passed","2026-07-20","Sign In negative tests","Sign In","",""
"","2571","Sign in with empty first name","Auth","2026-07-20","passed","2026-07-20","Sign Up negative tests"," Sign Up","",""
"","2854","Sign in with empty confirmation password","Auth","2026-07-20","passed","2026-07-20","Sign Up negative tests"," Sign Up","",""
"","2613","Sign in with empty last name","Auth","2026-07-20","passed","2026-07-20","Sign Up negative tests"," Sign Up","",""
"","2779","Clicking account link navigates to `Accounts Overview` page","Parabank","2026-07-20","passed","2026-07-20","Account Overview","Account Overview","",""
"","2578","Sign in with empty username","Auth","2026-07-20","passed","2026-07-20","Sign Up negative tests"," Sign Up","",""
"","2070","Successful `Update Profile` flow test","Update Profile","2026-07-20","passed","2026-07-20","","Update Profile Positive.spec.js","",""
"","2441","Sign in with empty username","Auth","2026-07-20","passed","2026-07-20","Sign In negative tests","Sign In","",""
"","3312","Successful `Sign in` flow test","Auth","2026-07-20","passed","2026-07-20","","Forgot Log In Info","",""
"","3148","Successful `Loan Request` details","Request Loan","2026-07-20","passed","2026-07-20","","Loan Request.spec.js","",""
"","3480","Sucsessful `Sign Up` flow test","Auth","2026-07-20","passed","2026-07-20",""," Sign Up","",""
"","2919","Sign in with empty city","Auth","2026-07-20","passed","2026-07-20","Sign Up negative tests"," Sign Up","",""
"","4021","Successful account creation with `Saving` type","Parabank","2026-07-20","passed","2026-07-20","Account Balance is Decreased When New SAVING Account Open","Open New Account","",""
"","2546","Sign in with empty password","Auth","2026-07-20","passed","2026-07-20","Sign Up negative tests"," Sign Up","",""
